# 首字母联想（带权重）：每行「两字母键 词 权重」，权重越大候选越靠前
# 示例：nh 你好 100
# 粘贴后运行：python normalize_abbr_weighted.py

aa 啊啊 10
aa 安安 8
aa 暗暗 7
aa 岸岸 5
aa 皑皑 4
aa 矮矮 3
aa 艾艾 2
aa 蔼蔼 1
ab 阿爸 7
ab 岸边 6
ab 安保 5
ab 爱吧 4
ab 岸波 3
ab 阿伯 2
ab 俺不 1
ac 爱才 7
ac 按次 6
ac 暗藏 5
ac 案场 4
ac 啊擦 3
ac 阿城 2
ac 奥楚 1
ad 爱的 8
ad 安定 7
ad 阿弟 6
ad 按动 5
ad 挨打 4
ad 鞍点 3
ad 暗地 2
ad 傲胆 1
ae 爱饿 7
ae 安鹅 6
ae 啊额 5
ae 按额 4
ae 暗恶 3
ae 阿二 2
ae 傲峨 1
af 阿发 7
af 爱发 6
af 安放 5
af 按法 4
af 傲风 3
af 暗访 2
af 阿飞 1
ag 爱国 9
ag 啊哥 7
ag 安哥 6
ag 按规 5
ag 奥钢 4
ag 暗光 3
ag 阿桂 2
ag 爱搞 1
ah 爱好 9
ah 爱护 8
ah 安徽 7
ah 啊哈 6
ah 爱河 5
ah 暗黑 4
ah 安好 3
ah 懊悔 2
ah 傲狠 1
ai 爱爱 8
ai 暗暗 7
ai 皑皑 6
ai 挨挨 5
ai 哎哎 4
ai 碍碍 3
ai 艾艾 2
ai 蔼蔼 1
aj 安静 9
aj 爱家 8
aj 安吉 7
aj 案件 6
aj 暗箭 5
aj 阿娇 4
aj 奥杰 3
aj 挨近 2
aj 傲气 1
ak 安康 8
ak 爱看 7
ak 安可 6
ak 奥康 5
ak 暗扣 4
ak 啊哭 3
ak 阿凯 2
ak 傲科 1
al 阿里 8
al 案例 7
al 安利 6
al 啊了 5
al 按例 4
al 暗恋 3
al 奥利 2
al 爱乐 1
am 爱妈 7
am 安眠 6
am 安门 5
am 啊妈 4
am 按门 3
am 暗码 2
am 阿妹 1
an 爱你 9
an 安宁 8
an 安妮 7
an 安全 6
an 啊你 5
an 按你 4
an 暗你 3
an 奥尼 2
an 爱念 1
ao 爱哦 7
ao 安哦 6
ao 啊哦 5
ao 奥奥 4
ao 懊恼 3
ao 傲气 2
ao 凹凹凸凸 1
ap 安排 9
ap 爱拍 7
ap 安培 6
ap 啊批 5
ap 按批 4
ap 暗怕 3
ap 阿婆 2
ap 奥鹏 1
aq 安全 10
aq 爱情 9
aq 按期 8
aq 安琪 7
aq 啊亲 6
aq 暗器 5
aq 傲气 4
aq 爱妾 3
aq 奥奇 2
aq 暗求 1
ar 爱人 8
ar 安然 7
ar 昂然 6
ar 啊日 5
ar 按日 4
ar 暗忍 3
ar 奥瑞 2
