# 汽车类型、品牌、部件、购车术语、常用语（本地常用，完整车系可走远程拉取）
# 格式：pinyin 词（与 pinyin_words.txt 一致）
jiaoche 轿车
yueyeche 越野车
yundongche 运动车
paoche 跑车
xiuxianche 休闲车
suv SUV
mpv MPV
mianbaoche 面包车
shangwuche 商务车
keche 客车
huoche 货车
pika 皮卡
fangche 房车
jingche 警车
jiuhuche 救护车
xiaofangche 消防车
gongchengche 工程车
wajueji 挖掘机
tuolaji 拖拉机
diandongche 电动车
chadianhundongche 插电混动车
chundiandongche 纯电动车
xinnengyuanche 新能源汽车
jiayongche 家用车
shangyongche 商用车
jiaopao 轿跑
kuyueche 酷越车
saiche 赛车
benchi 奔驰
baoma 宝马
aodi 奥迪
dazhong 大众
fute 福特
tongyong 通用
bieke 别克
xuefolan 雪佛兰
kaidilake 凯迪拉克
leinuo 雷诺
biaozhi 标致
xuetielong 雪铁龙
richan 日产
bentian 本田
fengtian 丰田
lingmu 铃木
sanling 三菱
mazida 马自达
qiya 起亚
xiandai 现代
wowo 沃尔沃
luhu 路虎
jiebao 捷豹
baoshijie 保时捷
falali 法拉利
linken 林肯
leikesasi 雷克萨斯
yingfeinidi 英菲尼迪
tesila 特斯拉
hongqi 红旗
jili 吉利
biyadi 比亚迪
changcheng 长城
hafo 哈佛
weipai 魏派
lingke 领克
weilai 蔚来
xiaopeng 小鹏
lixiang 理想
weima 威马
qirui 奇瑞
anrui 安睿
chuanqi 传祺
rongwei 荣威
mingjue 名爵
baojun 宝骏
wuling 五菱
changan 长安
beiqi 北汽
dongfeng 东风
yiqi 一汽
shangqi 上汽
guangqi 广汽
zhonghua 中华
lifan 力帆
zhongtai 众泰
benchicji 奔驰C级
baomaxi 宝马3系
aodia 奥迪A4
dazhongmaiteng 大众迈腾
fengtiankamuli 丰田凯美瑞
bentianyage 本田雅阁
richantianlai 日产天籁
futemengdiou 福特蒙迪欧
biekejunyue 别克君越
xuefolanmairuibao 雪佛兰迈锐宝
hafoh6 哈佛H6
changchengpao 长城炮
biyadihan 比亚迪汉
biyaditang 比亚迪唐
biyadisong 比亚迪宋
biyadiqin 比亚迪秦
weilaies8 蔚来ES8
lixiangone 理想ONE
xiaopengp7 小鹏P7
tesilamodel3 特斯拉Model 3
tesilamodely 特斯拉Model Y
hongqih9 红旗H9
jilidihao 吉利帝豪
changancs75 长安CS75
fadongji 发动机
biansuxiang 变速箱
luntai 轮胎
lungu 轮毂
fangxiangpan 方向盘
zuoyi 座椅
anquandai 安全带
qinang 气囊
shache 刹车
youmen 油门
liheqi 离合器
dangwei 档位
shoudongdang 手动挡
zidongdang 自动挡
yibiaopan 仪表盘
zhongkongtai 中控台
daohangyi 导航仪
yinxiang 音响
kongtiao 空调
chedeng 车灯
dadeng 大灯
jinqiqi 进气
paiqiguan 排气管
xiaoyinqi 消音器
dianping 电瓶
youxiang 油箱
shuixiang 水箱
yuguaqi 雨刮器
houshijing 后视镜
ceshijing 侧视镜
chechuang 车窗
tianchuang 天窗
yinqinggai 引擎盖
houbeixiang 后备箱
chemen 车门
cheshen 车身
dipan 底盘
xuangua 悬挂
jianzhenqi 减震器
shachepian 刹车片
youyabiao 油压表
shuiwenbiao 水温表
zhuansubiao 转速表
sudubiao 速度表
youliangbiao 油量表
dianliangbiao 电量表
gpsdingwei GPS定位
xuanche 选车
kanche 看车
shijia 试驾
tanjia 谈价
jiangjia 降价
youhui 优惠
cuxiao 促销
tiche 提车
dingche 订车
maiche 买车
jiaochekuan 交车款
shoufu 首付
daikuan 贷款
