baiban 白板
baibanbi 白板笔
banca 板擦
bangongtai 办公台
baobiao 报表
baoshitie 报事贴
baoxiangui 保险柜
bidai 笔袋
bijiben 笔记本
bijia 笔架
bitong 笔筒
bianjian 便笺
caipenzhi 彩喷纸
caizhidao 裁纸刀
caizhiji 裁纸机
chizi 尺子
chuwugui 储物柜
chuanzhenji 传真机
chuanzhenzhi 传真纸
chuangyigongziding 创意工字钉
cixingban 磁性板
dabanyi 大班椅
dabanzhuo 大班桌
dakongji 打孔机
datouzhen 大头针
dayinji 打印机
daziji 打字机
dangandai 档案袋
daoxiao 刀削
diqiuyi 地球仪
dianchaoji 点钞机
dianhuaben 电话本
diannaozhuo 电脑桌
dingshuji 订书机
dingshuzhen 订书针
dingweishuqian 定位书签
fangdajing 放大镜
fenbi 粉笔
fenguangyi 分光仪
fuxiezhi 复写纸
fuyinji 复印机
fuyinzhi 复印纸
gangbi 钢笔
gutijiao 固体胶
guangduji 光度计
guangpuyi 光谱仪
guosuji 过塑机
haomaji 号码机
heiban 黑板
huabi 画笔
huabu 画布
huakuang 画框
huazhi 画纸
huandengji 幻灯机
huikeyi 会客椅
huituji 绘图机
huituzhi 绘图纸
huixingzhen 回形针
huiyizhuo 会议桌
huoyeben 活页本
jihaobi 记号笔
jishiben 记事本
jiyoubu 集邮簿
jiangtai 讲台
jiaobian 教鞭
jiaojuan 胶卷
jiaopian 胶片
jiaoshui 胶水
jingtou 镜头
jingweiyi 经纬仪
juanbi 卷笔
kaoqinji 考勤机
kezhuoyi 课桌椅
keziji 刻字机
lengjing 棱镜
lianxiben 练习本
loukongbitong 镂空笔筒
loukongchangweijia 镂空长尾夹
loukonghuixingzhen 镂空回形针
loukongmingpianjia 镂空名片夹
loukongqinpujia 镂空琴谱夹
loukongshujia 镂空书夹
loukongxiaoyujia 镂空小鱼夹
loukongyaoshikou 镂空钥匙扣
loukongyuweijia 镂空鱼尾夹
lvban 绿板
lvguangpian 滤光片
lvsepian 滤色片
maobi 毛笔
meigongdao 美工刀
mingpianhe 名片盒
mohe 墨盒
moshui 墨水
moyan 墨砚
pingfeng 屏风
pingzheng 凭证
qianbi 铅笔
sanjiaojia 三脚架
saomiaoyi 扫描仪
sechaji 色差计
sedai 色带
shaituji 晒图机
sheyingpeng 摄影棚
shouyinzhi 收银纸
shubao 书包
shuli 书立
shuxiezhi 书写纸
shuidihuixingzhen 水滴回形针
shuidipiaojia 水滴票夹
shuizhunyi 水准仪
sufengji 塑封机
suanpan 算盘
suizhiji 碎纸机
taiyangjing 太阳镜
tandai 碳带
tanfen 碳粉
tanhuangbi 弹簧笔
tikuanxiang 提款箱
tongxunlu 通讯录
toujing 透镜
touyingji 投影机
tuding 图钉
wangyuanjing 望远镜
wenjiangui 文件柜
wenjianjia 文件夹
wenjuhe 文具盒
xigu 硒鼓
xianquanben 线圈本
xianweijing 显微镜
xiangce 相册
xiangpica 橡皮擦
xiangzhi 相纸
xinfeng 信封
xiuzhengdai 修正带
xiuzhengye 修正液
xuanzhi 宣纸
xueshengchuang 学生床
yanchaoji 验钞机
yanjingbu 眼镜布
yanjinghe 眼镜盒
yeshiyi 夜视仪
yingguangbi 荧光笔
yuangui 圆规
yuanzhubi 圆珠笔
zhanshitai 展示台
zhangbu 帐簿
zhesheyi 折射仪
zhiyuanyi 职员椅
zhongxingbi 中性笔
zhuangdingji 装订机
anbaobu 安保部
caiwubu 财务部
cangku 仓库
chejian 车间
dianqichejian 电器车间
gongsibangongshi 公司办公室
jifang 机房
jingli 经理
laoban 老板
qiguanbu 企管部
renliziyuanbu 人力资源部
renshibu 人事部
shebeichu 设备处
shejibu 设计部
shenjichu 审计处
shengchanbu 生产部
shouhoufuwuzhongxin 售后服务中心
waijingmaogongsi 外经贸公司
xiaoshougongsi 销售公司
yanfabu 研发部
zaibeijifang 灾备机房
zhiguanbu 质管部
zhujifang 主机房
zhusuchejian 注塑车间
zhuzaochang 铸造厂
zongjingli 总经理
zongzhuangchang 总装厂
abeibichangyuanli 阿贝比长原理
adamabianhuan 阿达马变换
anping 安平
anpingjingdu 安平精度
antai 岸台
aomijiahaitu 奥米伽海图
badaogongchengceliang 靶道工程测量
bazhikancha 坝址勘查
baidongchuitouying 摆动锤投影
baiyi 摆仪
banchafangyang 颁岔放样
bandaotijiguangqi 半导体激光器
banrichaogang 半日潮港
bansediao 半色调
banzhanxingcejujingweiyi 半站型测距经纬仪
baohedu 饱和度
baokuozhuantiyaosu 包括专题要素
beidongshiyaogan 被动式遥感
beijixingrenyishijiaofa 北极星任意时角法
beijingbianbie 背景辨别
beijingzuobiaoxi 北京坐标系
beisaier 贝塞尔
beisaierdadizhutijiesuangongshi 贝塞尔大地主题解算公式
beisaierfa 贝塞尔法
beisaiertuoqiu 贝塞尔椭球
beiyesifenlei 贝叶斯分类
benchuziwuxian 本初子午线
benzong 本宗
bengya 崩崖
bigaodian 比高点
bihecha 闭合差
bihedaoxian 闭合导线
biheshuizhunluxian 闭合水准路线
bijiaodetuxue 比较地图学
bilichi 比例尺
bililiangbiao 比例量表
biliwucha 比例误差
bizhibianhuan 比值变换
bizhizengqiang 比值增强
bianbilitouying 变比例投影
bianchangzhongwucha 边长中误差
bianchuixianbiaoding 边垂线标定
bianhuanguangshucetu 变换光束测图
bianhui 编绘
bianhuiyuantu 编绘原图
bianjidagang 编辑大纲
bianjiaoceliang 边角测量
bianjiaohuifa 边交会法
bianjiaojiaohuifa 边角交会法
bianjiaowang 边角网
bianjiejiao 边界角
bianpowendingxingguance 边坡稳定性观测
bianpozhuangceshe 边坡桩测设
biansehaishui 变色海水
biantu 编图
bianxianyi 变线仪
bianxingguance 变形观测
bianxingguancekongzhiwang 变形观测控制网
bianxingtuoyuan 变形椭圆
bianyuanjiance 边缘检测
bianyuanzengqiang 边缘增强
biaochengjingdu 标称精度
biaochi 标尺
biaogao 标高
biaogaochagaizheng 标高差改正
biaojieceliang 标界测量
biaoshi 标石
biaoshiraodongwei 表示扰动位
biaoshisanjiao 表示三角
biaozhideng 标志灯
biaozhuncha 标准差
biaozhunjiandingchang 标准检定场
biaozhunpeizhidian 标准配置点
biaozhunweixian 标准纬线
