# ========== 原有常用 + 品牌 ==========
nihao 你好
nihaoya 你好呀
nimen 你们
women 我们
tamen 他们
dajiahao 大家好
dajiahaoya 大家好呀
wohao 我好
xiexie 谢谢
zaijian 再见
shenme 什么
zenme 怎么
weishenme 为什么
keyi 可以
meiyou 没有
yiqi 一起
xianzai 现在
jintian 今天
mingtian 明天
zuotian 昨天
hao 好
duibuqi 对不起
meiguanxi 没关系
qingwen 请问
zhege 这个
nage 那个
zenmeyang 怎么样
henhao 很好
buhao 不好
duoxie 多谢
bukeqi 不客气
zaoshanghao 早上好
wanshanghao 晚上好
xiawuhao 下午好
mengchuangjianghe 萌创匠盒
mengchuang 萌创
jianghe 匠盒
haha 哈哈
hahaha 哈哈哈哈
hahahaha 哈哈哈哈
lailai 来来
lailailai 来来来
lalala 啦啦啦
liuliuliu 六六六
lululu 噜噜噜
laile 来了
liaoliao 聊聊
liuliang 流量
leile 累了
laole 老了
lvelvelve 略略略
lalalala 啦啦啦啦
lailailailai 来来来来
lailelaile 来了来了

# ========== 一、食物与饮品 ==========
mifan 米饭
mantou 馒头
baozi 包子
jiaozi 饺子
huntun 馄饨
miantiao 面条
mixian 米线
zhou 粥
jianbing 煎饼
youtiao 油条
doujiang 豆浆
niunai 牛奶
suannai 酸奶
kafei 咖啡
cha 茶
hongcha 红茶
lvcha 绿茶
guozhi 果汁
kele 可乐
xuebi 雪碧
kuangquanshui 矿泉水
bingjiling 冰淇淋
xuegao 雪糕
dangao 蛋糕
mianbao 面包
binggan 饼干
quqi 曲奇
qiaokeli 巧克力
tang 糖
fengmi 蜂蜜
jiangyou 酱油
cu 醋
yan 盐
huajiao 花椒
bajiao 八角
rou 肉
zhurou 猪肉
niurou 牛肉
yangrou 羊肉
jirou 鸡肉
yu 鱼
xia 虾
jidan 鸡蛋
doufu 豆腐
huotui 火腿
xiangchang 香肠

# ========== 二、水果蔬菜 ==========
pingguo 苹果
xiangjiao 香蕉
juzi 橘子
putao 葡萄
xigua 西瓜
caomei 草莓
mangguo 芒果
li 梨
tao 桃
yingtao 樱桃
ningmeng 柠檬
liulian 榴莲
xihongshi 西红柿
huanggua 黄瓜
qiezi 茄子
tudou 土豆
baicai 白菜
luobo 萝卜
huluobo 胡萝卜
qingjiao 青椒
lajiao 辣椒
dasuan 大蒜
shengjiang 生姜
yangcong 洋葱
qincai 芹菜
bocai 菠菜
shengcai 生菜
youcai 油菜
doujiao 豆角
wandou 豌豆
yumi 玉米
muer 木耳
xianggu 香菇
jinzhengu 金针菇

# ========== 三、日常用品 ==========
yashua 牙刷
yagao 牙膏
maojin 毛巾
xiyiyie 洗衣液
xifashui 洗发水
muyulu 沐浴露
xiangzao 香皂
feizao 肥皂
zhijiadao 指甲刀
xiurongdao 剃须刀
chuifengji 吹风机
shuzi 梳子
jingzi 镜子
matong 马桶
matongshua 马桶刷
penyu 喷头
shuilongtou 水龙头
xichengqi 吸尘器
saodiji 扫地机
lajidai 垃圾袋
zhijin 纸巾
chouzhi 抽纸
weishengzhi 卫生纸
shijin 湿巾
canjin 餐巾
kuaizi 筷子
shaozi 勺子
chazi 叉子
daozi 刀子
wan 碗
diezi 盘子
beizi 杯子
chahu 茶壶
baoxianmo 保鲜膜
xitiezhi 锡纸
he 盒
xiangzi 箱子
daizi 袋子
shoudiantong 手电筒
dianchi 电池
chazuo 插座
chaxian 插线
kaiguan 开关
deng 灯
taideng 台灯

# ========== 四、家居用品 ==========
chuang 床
chuangdan 床单
beizi 被子
beitao 被套
zhentou 枕头
zhentao 枕套
ruzi 褥子
tanzi 毯子
liangxi 凉席
wenzhang 蚊帐
yijia 衣架
yigui 衣柜
shafa 沙发
chaji 茶几
canzhuo 餐桌
yizi 椅子
bandeng 板凳
shugui 书柜
dianshiji 电视机
kongtiao 空调
bingxiang 冰箱
xiyiji 洗衣机
weibolu 微波炉
dianfanbao 电饭煲
ranqizao 燃气灶
chouyouyanji 抽油烟机
reshuigi 热水器
yinshuiji 饮水机
nuanqi 暖气
jiashiqi 加湿器
jinghuaqi 净化器
dianshan 电扇
qunuanqi 取暖器
dianretan 电热毯
chongdianqi 充电器
chongdianbao 充电宝
shujuxian 数据线
erji 耳机
yaokongqi 遥控器
naozhong 闹钟
shoubiao 手表
rili 日历

# ========== 五、服饰鞋帽 ==========
chenshan 衬衫
txu T恤
weiyi 卫衣
maoyi 毛衣
waitao 外套
dayi 大衣
yurongfu 羽绒服
fengyi 风衣
piyi 皮衣
jiake 夹克
xizhuang 西装
qunzi 裙子
kuzi 裤子
niuzaiku 牛仔裤
xiuxianku 休闲裤
yundongku 运动裤
duanku 短裤
dadiku 打底裤
liankuwa 连裤袜
wazi 袜子
xiezi 鞋子
yundongxie 运动鞋
pixie 皮鞋
buxie 布鞋
liangxie 凉鞋
tuoxie 拖鞋
xuedixie 雪地靴
gaogenxie 高跟鞋
maozi 帽子
weijin 围巾
shoutao 手套
kouzhao 口罩
yaodai 腰带
bao 包
shitibao 手提包
jianbao 背包
shuangjianbao 双肩包
qianbao 钱包
kabao 卡包
yaoshibao 钥匙包
lvxingxiang 行李箱

# ========== 六、交通工具 ==========
qiche 汽车
gongjiaoche 公交车
chuzuche 出租车
ditie 地铁
qinggui 轻轨
huoche 火车
gaotie 高铁
feiji 飞机
chuan 船
zixingche 自行车
diandongche 电动车
motuoche 摩托车
sanlunche 三轮车
jiaoxiaoche 轿车
huoche 货车
mianbaoche 面包车
yueyeche 越野车
fangche 房车
jiuhuche 救护车
xiaofangche 消防车
jingche 警车
tuolaji 拖拉机
diaoche 吊车
wajueji 挖掘机
lu 路
qiao 桥
honglvdeng 红绿灯
lukou 路口
zhantai 站台
jichang 机场
huochezhan 火车站
qichezhan 汽车站
tingchechang 停车场

# ========== 七、动物植物 ==========
gou 狗
mao 猫
ji 鸡
ya 鸭
e 鹅
zhu 猪
niu 牛
yang 羊
ma 马
tu 兔
she 蛇
niao 鸟
chong 虫
hudie 蝴蝶
mifeng 蜜蜂
mayi 蚂蚁
zhizhu 蜘蛛
cangying 苍蝇
wenzi 蚊子
laoshu 老鼠
hua 花
cao 草
shu 树
yezi 叶子
gen 根
zhi 枝
songshu 松树
yangshu 杨树
liushu 柳树
meihua 梅花
juhua 菊花
hehua 荷花
mudan 牡丹
yueji 月季
guihua 桂花

# ========== 八、人物称谓 ==========
baba 爸爸
mama 妈妈
yeye 爷爷
nainai 奶奶
waigong 外公
waipo 外婆
shushu 叔叔
ayi 阿姨
gege 哥哥
jiejie 姐姐
didi 弟弟
meimei 妹妹
erzi 儿子
nver 女儿
laogong 老公
laopo 老婆
pengyou 朋友
tongxue 同学
laoshi 老师
xuesheng 学生
yisheng 医生
hushi 护士
jingcha 警察
siji 司机
shangren 商人
gongren 工人
nongmin 农民
mingxing 明星
yonghu 用户
kehu 客户
linju 邻居
moshengren 陌生人

# ========== 九、动作行为 ==========
chi 吃
he 喝
shui 睡
zuo 坐
zhan 站
zou 走
pao 跑
tiao 跳
kan 看
ting 听
shuo 说
du 读
xie 写
hua 画
chang 唱
tiaowu 跳舞
wan 玩
xiuxi 休息
gongzuo 工作
xuexi 学习
mai 买
mai 卖
kai 开
guan 关
na 拿
fang 放
lai 来
qu 去
hui 回
jin 进
chu 出
shang 上
xia 下
qi 起
fu 服
yong 用
xiuli 修理
dasao 打扫
xi 洗
shu 梳
zhao 找
deng 等
wen 问
da 答
bang 帮
gei 给
song 送

# ========== 十、形容词 ==========
da 大
xiao 小
gao 高
ai 矮
chang 长
duan 短
cu 粗
xi 细
kuan 宽
zhai 窄
hou 厚
bao 薄
duo 多
shao 少
zhong 重
qing 轻
kuai 快
man 慢
huai 坏
xin 新
jiu 旧
re 热
leng 冷
nuan 暖
liang 凉
gan 干
shi 湿
rongyi 容易
nan 难
gui 贵
pianyi 便宜
piaoliang 漂亮
chou 丑
shufu 舒服
nanshou 难受
gaoxing 高兴
nanguo 难过
mang 忙
xian 闲
anquan 安全
weixian 危险
qingchu 清楚
mohu 模糊
zhen 真
jia 假

# ========== 十一、时间日期 ==========
houtian 后天
qiantian 前天
zaoshang 早上
zhongwu 中午
xiawu 下午
wanshang 晚上
yeli 夜里
guoqu 过去
weilai 未来
shijian 时间
dianzhong 点钟
xiaoshi 小时
fenzhong 分钟
miao 秒
zhou 周
xingqi 星期
yue 月
nian 年
ri 日
hao 号
chuntian 春天
xiatian 夏天
qiutian 秋天
dongtian 冬天
fangjia 放假
guojie 过节
shengri 生日
jinianri 纪念日

# ========== 十二、地点场所 ==========
jia 家
xuexiao 学校
gongsi 公司
danwei 单位
yiyuan 医院
chaoshi 超市
shangchang 商场
caishichang 菜市场
gongyuan 公园
dianyingyuan 电影院
jiudian 酒店
fandian 饭店
canting 餐厅
kafeiting 咖啡厅
ba 吧
jiaotang 教堂
simiao 寺庙
tiananmen 天安门
gugong 故宫
jiedao 街道
shequ 社区
cun 村
zhen 镇
chengshi 城市
xiangxia 乡下
guowai 国外
haiwai 海外
difang 地方
limian 里面
waimian 外面
shangmian 上面
xiamian 下面
qianmian 前面
houmian 后面
zuobian 左边
youbian 右边
dongbian 东边
