afuhan 阿富汗
aerbaniya 阿尔巴尼亚
aerjiliya 阿尔及利亚
andaoer 安道尔
angela 安哥拉
antiguahebabuda 安提瓜和巴布达
agenting 阿根廷
yameiniya 亚美尼亚
aodaliya 澳大利亚
aodili 奥地利
asaibaijiang 阿塞拜疆
bahama 巴哈马
balin 巴林
mengjialaguo 孟加拉国
babaduosi 巴巴多斯
baieluosi 白俄罗斯
bilishi 比利时
bolizi 伯利兹
beining 贝宁
budan 不丹
boliweiya 玻利维亚
bohei 波黑
bociwana 博茨瓦纳
baxi 巴西
wenlai 文莱
baojialiya 保加利亚
bujinafasuo 布基纳法索
bulongdi 布隆迪
fodejiao 佛得角
jianpuzhai 柬埔寨
kamailong 喀麦隆
jianada 加拿大
zhongfei 中非
zhade 乍得
zhili 智利
zhongguo 中国
gelunbiya 哥伦比亚
kemoluo 科摩罗
gangguogongheguo 刚果共和国
gesidalijia 哥斯达黎加
ketediwa 科特迪瓦
keluodiya 克罗地亚
guba 古巴
saipulusi 塞浦路斯
jieke 捷克
chaoxian 朝鲜
gangguominzhugongheguo 刚果民主共和国
danmai 丹麦
jibuti 吉布提
duominike 多米尼克
duominijia 多米尼加
eguaduoer 厄瓜多尔
aiji 埃及
saerwaduo 萨尔瓦多
chidaojineiya 赤道几内亚
eliteliya 厄立特里亚
aishaniya 爱沙尼亚
siweishilan 斯威士兰
aisaiebiya 埃塞俄比亚
feiji 斐济
fenlan 芬兰
faguo 法国
jiapeng 加蓬
gangbiya 冈比亚
gelujiya 格鲁吉亚
deguo 德国
jiana 加纳
xila 希腊
gelinada 格林纳达
weidimala 危地马拉
jineiya 几内亚
jineiyabishao 几内亚比绍
guiyana 圭亚那
haidi 海地
hongdulasi 洪都拉斯
xiongyali 匈牙利
bingdao 冰岛
yindu 印度
yindunixiya 印度尼西亚
yilang 伊朗
yilake 伊拉克
aierlan 爱尔兰
yiselie 以色列
yidali 意大利
yamaijia 牙买加
riben 日本
yuedan 约旦
hasakesitan 哈萨克斯坦
kenniya 肯尼亚
jilibasi 基里巴斯
keweite 科威特
jierjisisitan 吉尔吉斯斯坦
laowo 老挝
latuoweiya 拉脱维亚
libanen 黎巴嫩
laisuotuo 莱索托
libiliya 利比里亚
libiya 利比亚
liezhidunshideng 列支敦士登
litaowan 立陶宛
lusenbao 卢森堡
madajiasijia 马达加斯加
malawei 马拉维
malaixiya 马来西亚
maerdaifu 马尔代夫
mali 马里
maerta 马耳他
mashaoerqundao 马绍尔群岛
maolitaniya 毛里塔尼亚
maoliqiusi 毛里求斯
moxige 墨西哥
mikeluonixiya 密克罗尼西亚
monage 摩纳哥
menggu 蒙古
heishan 黑山
moluoge 摩洛哥
mosangbike 莫桑比克
miandian 缅甸
namibiya 纳米比亚
naolu 瑙鲁
nipoer 尼泊尔
helan 荷兰
xinxilan 新西兰
nijialagua 尼加拉瓜
nirier 尼日尔
niriliya 尼日利亚
beimaqidun 北马其顿
nuowei 挪威
aman 阿曼
bajisitan 巴基斯坦
palao 帕劳
banama 巴拿马
babuyaxinjineiya 巴布亚新几内亚
balagui 巴拉圭
bilu 秘鲁
feilvbin 菲律宾
bolan 波兰
putaoya 葡萄牙
kataer 卡塔尔
hanguo 韩国
moerduowa 摩尔多瓦
luomaniya 罗马尼亚
eluosi 俄罗斯
luwangda 卢旺达
shengjiciheniweisi 圣基茨和尼维斯
shengluxiya 圣卢西亚
shengwensentehegelinnadingsi 圣文森特和格林纳丁斯
samoya 萨摩亚
shengmalinuo 圣马力诺
shengduomeihepulinxibi 圣多美和普林西比
shatealabo 沙特阿拉伯
saineijiaer 塞内加尔
saierweiya 塞尔维亚
saisheer 塞舌尔
sailaliang 塞拉利昂
xinjiapo 新加坡
siluofake 斯洛伐克
siluowenniya 斯洛文尼亚
suoluomenqundao 所罗门群岛
suomali 索马里
nanfei 南非
nansudan 南苏丹
xibanya 西班牙
sililanka 斯里兰卡
sudan 苏丹
sulinan 苏里南
ruidian 瑞典
ruishi 瑞士
xuliya 叙利亚
tajikesitan 塔吉克斯坦
taiguo 泰国
dongdiwen 东帝汶
duoge 多哥
tangjia 汤加
telinidaheduobage 特立尼达和多巴哥
tunisi 突尼斯
tuerqi 土耳其
tukumansitan 土库曼斯坦
tuwalu 图瓦卢
wuganda 乌干达
wukelan 乌克兰
alianqiu 阿联酋
yingguo 英国
tansangniya 坦桑尼亚
meiguo 美国
wulagui 乌拉圭
wuzibiekesitan 乌兹别克斯坦
wanuatu 瓦努阿图
weineiruila 委内瑞拉
yuenan 越南
yemen 也门
zanbiya 赞比亚
jinbabuwei 津巴布韦
fandigang 梵蒂冈
balesitan 巴勒斯坦
