guanguanjujiu 关关雎鸠
zaihezhizhou 在河之洲
yaotiaoshunv 窈窕淑女
junzihaoqiu 君子好逑
jianjiacangcang 蒹葭苍苍
bailuweishuang 白露为霜
suoweiyiren 所谓伊人
zaishuiyifang 在水一方
zhiwozhe 知我者
weiwoxinyou 谓我心忧
buzhiwozhe 不知我者
weiwoheqiu 谓我何求
taozhiyaoyao 桃之夭夭
zhuozhuoqihua 灼灼其华
zhiziyugui 之子于归
yiqishijia 宜其室家
yiribujian 一日不见
rusanqiuxi 如三秋兮
qingqingzijin 青青子衿
youyouwoxin 悠悠我心
sishengqikuo 死生契阔
yuzichengshuo 与子成说
zhizizhishou 执子之手
yuzixielao 与子偕老
qiaoxiaoqianxi 巧笑倩兮
meimupanxi 美目盼兮
touwoyimutao 投我以木桃
baozhiyiqiongyao 报之以琼瑶
feibaoye 匪报也
yongyiweihaoye 永以为好也
jinxihexi 今夕何夕
jianciliangren 见此良人
xiwowangyi 昔我往矣
yangliuyiyi 杨柳依依
jinwolaisi 今我来思
yuxuefeifei 雨雪霏霏
fengyuruhui 风雨如晦
jimingbuyi 鸡鸣不已
jijianjunzi 既见君子
yunhubuxi 云胡不喜
youfeijunzi 有匪君子
ruqierucuo 如切如磋
ruzhuorumo 如琢如磨
youyouluming 呦呦鹿鸣
shiyezhiping 食野之苹
woyoujiabin 我有嘉宾
gusechuisheng 鼓瑟吹笙
gaoshanyangzhi 高山仰止
jingxinghangzhi 景行行止
shanwuling 山无陵
jiangshuiweijie 江水为竭
dongleizhenzhen 冬雷震震
xiayuxue 夏雨雪
tiandihe 天地合
naiganyujunjue 乃敢与君绝
shaozhuangbunuli 少壮不努力
laodatushangbei 老大徒伤悲
xiongtujiaopushuo 雄兔脚扑朔
cituyanmili 雌兔眼迷离
shuangtubangdizou 双兔傍地走
annengbianwoshixiongci 安能辨我是雄雌
yuandeyirenxin 愿得一人心
baishoubuxiangli 白首不相离
sijunlingrenlao 思君令人老
suiyuehuyiwan 岁月忽已晚
duijiudangge 对酒当歌
renshengjihe 人生几何
piruzhaolu 譬如朝露
qurikuduo 去日苦多
laojifuli 老骥伏枥
zhizaiqianli 志在千里
lieshimunian 烈士暮年
