abeibichangyi 阿贝比长仪
abeierfudu 阿贝尔富度
aboluoxing 阿波罗型
aerbichangyi 阿尔比长仪
aerwenbo 阿尔文波
aerwenyu 阿尔文于
agelandefa 阿格兰德法
alisitake 阿利斯塔克
aluotianti 阿罗天体
amoerxing 阿莫尔型
aida 艾达
aidingdun 爱丁顿
aidingdunjixian 爱丁顿极限
aifuxiedexiaoying 埃弗谢德效应
ailemanzhadan 埃勒曼炸弹
ainong 埃农
aiwei 艾卫
aixinxing 矮新星
aixing 矮星
aixingxi 矮星系
aiyinsitantianwentai 爱因斯坦天文台
aizaofubianxing 矮造父变星
anbanxing 暗伴星
andai 暗带
anduoyebianliang 安多耶变量
anlantianti 暗蓝天体
anneng 暗能
antiao 暗条
anwuzhi 暗物质
anxingyun 暗星云
anzhong 氨钟
aobosiyangmiu 奥伯斯佯谬
aoertetichulitaiyang 奥尔特提出离太阳
aoertexingyun 奥尔特星云
aoerteyun 奥尔特云
badechuang 巴德窗
baermojianfu 巴尔末减幅
baermotiaoyue 巴尔末跳跃
bajingxiangmaidong 巴径向脉动
banadequan 巴纳德圈
baiaixing 白矮星
baidao 白道
baidong 白洞
baierxingzuo 拜尔星座
baiguangyaoban 白光耀斑
baiyangliuxingqun 白羊流星群
banchangjing 半长径
bandiangansheceliang 斑点干涉测量
banfengquankuan 半峰全宽
banguizebianxing 半规则变星
banjieshuangxing 半接双星
bankuan 半宽
banxing 伴星
banxingxi 伴星系
banying 半影
banyingshi 半影食
bangxuanxingxi 棒旋星系
baobingmoxing 薄饼模型
baofabianxing 爆发变星
baofanengliangjizhongzai 爆发能量集中在
baofarier 爆发日珥
baofaxiang 爆发相
baofaxinxing 爆发新星
baofaxingxi 爆发星系
baohouxinxing 爆后新星
baonvxingxing 宝女型星
baopinggong 宝瓶宫
baopingliuxingqun 宝瓶流星群
baoqianchaoxinxing 爆前超新星
baoqianxinxing 爆前新星
baosuo 暴缩
baozhanglilun 暴涨理论
baozhangmoxing 暴涨模型
baozhangyuzhoumoxing 暴胀宇宙模型
baozhangyuzhouxue 暴涨宇宙学
baozhangzi 暴涨子
beidouer 北斗二
beidouliu 北斗六
beidouqi 北斗七
beidousan 北斗三
beidousi 北斗四
beidouwu 北斗五
beihanerhengxingchangshu 贝寒尔恒星常数
beihanernian 贝寒尔年
beihanerrishu 贝寒尔日数
beihesan 北河三
beiheyi 北河一
beihuangji 北黄极
beijixing 北极星
beijixingxu 北极星序
beijingfushe 背景辐射
beijingtianwenguan 北京天文馆
beijingxing 背景星
beijingxingxi 背景星系
beilizhu 贝利珠
beilin 贝琳
beimeidai 北煤袋
beimian 北冕
beimianxingxituan 北冕星系团
beisaierhengxingchangshu 贝塞尔恒星常数
beisaiernian 贝塞尔年
beisaierrishu 贝塞尔日数
beitianji 北天极
beixing 钡星
beiyinji 北银极
beiyinjizhi 北银极支
benchaoxingxituan 本超星系团
benchuziwuxian 本初子午线
bendijingzhibiaozhun 本地静止标准
bendong 本动
benfudian 奔赴点
benlidian 奔离点
benlun 本轮
benxingxiqun 本星系群
benxingxituan 本星系团
benying 本影
benyingshi 本影食
benzhengfangxiang 本征方向
benzhengji 本征基
bijixing 臂际星
bijiaoxing 比较星
bijiaoxingxingxue 比较行星学
bilaliuxingqun 比拉流星群
bisu 毕宿
bisuwu 毕宿五
bixing 比星
bixingqun 毕星群
bixingtuan 毕星团
biyuzhou 闭宇宙
bizu 臂族
bianguangxingyun 变光星云
bianpingcixi 扁平次系
bianpingzixi 扁平子系
bianshengsu 变声速
bianxiangguan 变象管
bianxing 变星
biaodububianxing 标度不变性
biaoduyinzi 标度因子
biaogao 标高
biaoguanshijie 表观视界
biaoliangmoshi 标量模式
biaoliangraodong 标量扰动
biaoliangzhangluo 标量涨落
biaozhunxing 标准星
biaozhunyuzhoumoxing 标准宇宙模型
biaozhunzuobiao 标准坐标
binghexingxi 并合星系
bodedingze 波得定则
boenxingbiao 波恩星表
bojiang 波江
bopan 薄盘
bubianpingmian 不变平面
buguizebianxing 不规则变星
buguizexingxi 不规则星系
bujieshuangxing 不接双星
bukejianwuzhi 不可见物质
buladelei 布拉得雷
bumingfeixingti 不明飞行体
bumingfeixingwu 不明飞行物
butoumingdu 不透明度
buwendingxing 不稳定星
cankaodayuan 参考大圆
cankaoxing 参考星
cansu 参宿
cansuqi 参宿七
cansusi 参宿四
caomaoxingxi 草帽星系
cedisuicha 测地岁差
cedizhangdong 测地章动
ceguang 测光
ceguangjie 测光解
ceguangjuli 测光距离
ceguangshuangxing 测光双星
ceguangxitong 测光系统
ceguangxu 测光序
ceshi 测时
cexiangtianti 侧向天体
cexiangtianti 测向天体
cengdedianliduturanzengda 层的电离度突然增大
chashizhuangzhi 叉式装置
chailangquan 豺狼圈
chanjuankunnan 缠卷困难
chanjuanyinan 缠卷疑难
chanxingqu 产星区
changdudengyu 长度等于
changgengxing 长庚星
changqiguangxingcha 长期光行差
changqijiyi 长期极移
changqijiasudu 长期加速度
changqishedong 长期摄动
changqishicha 长期视差
changqiangtuyi 场强突异
changshe 长蛇
changshijianriquanshi 长时间日全食
changshu 常数
changxing 场星
changxingxi 场星系
changzhouqibianxing 长周期变星
changzhouqihuixing 长周期彗星
changzhouqishedong 长周期摄动
chaojutuoyuanxingxi 超巨椭圆星系
chaojuxing 超巨星
chaojuxingxi 超巨星系
chaomili 超米粒
chaomilizuzhi 超米粒组织
chaomian 超冕
chaoqiyunzuodao 超期运作到
chaoxibianxing 潮汐变形
chaoxijiashuo 潮汐假说
chaoximoca 潮汐摩擦
chaoxixingbian 潮汐形变
chaoxinxing 超新星
chaoxingxituan 超星系团
chenaidai 尘埃带
chenaihuiwei 尘埃彗尾
chenaixingyun 尘埃星云
chenchu 晨出
chenhunmengying 晨昏蒙影
chenzungui 陈遵妫
chengdongdian 秤动点
chengdongdian 称动点
chenglou 秤漏
