abaozhigong 阿保之功
abidiyu 阿鼻地狱
aguaweng 阿姑阿翁
ajiaojinwu 阿娇金屋
amaoagou 阿猫阿狗
apingjuedao 阿平绝倒
aiaifumu 哀哀父母
aiaipangpang 矮矮胖胖
aiaiyujue 哀哀欲绝
aibieliku 爱别离苦
aibingbisheng 哀兵必胜
aiburenshi 爱不忍释
aibushishou 爱不释手
aicairuke 爱才如渴
aicairuming 爱才如命
aicairuming 爱财如命
aicairuoke 爱才若渴
aidashouma 挨打受骂
aidongshoue 挨冻受饿
aieshoudong 挨饿受冻
aierbushang 哀而不伤
aifengjifeng 挨风缉缝
aifuxianpin 爱富嫌贫
aigantiandi 哀感天地
aiganwanyan 哀感顽艳
aiganzhongnian 哀感中年
aigaobinfu 哀告宾服
aiguorujia 爱国如家
aiheshizhong 爱鹤失众
aihongbiandi 哀鸿遍地
aihongbianye 哀鸿遍野
aihuiguli 哀毁骨立
aihuijili 哀毁瘠立
aijiaaihu 挨家挨户
aijianbingzu 挨肩并足
aijiancabang 挨肩擦膀
aijiancabei 挨肩擦背
aijiancalian 挨肩擦脸
aijiandabei 挨肩搭背
aijiandiebei 挨肩叠背
aijiandiebei 挨肩迭背
aijinwuxi 哀矜勿喜
aikoushixiu 碍口识羞
ailibuli 爱理不理
ailicunyang 爱礼存羊
ailizhengshi 哀梨蒸食
aimaofanqiu 爱毛反裘
aimeibuming 暧昧不明
aimeizhiqing 暧昧之情
aimenaihu 挨门挨户
aimenzhuhu 挨门逐户
aiminruzi 爱民如子
aimodayuxinsi 哀莫大于心死
aimonengzhu 爱莫能助
aimozhizhu 爱莫之助
ainancongming 碍难从命
aiqianruming 爱钱如命
airankeqin 蔼然可亲
airanrenzhe 蔼然仁者
airenguanchang 矮人观场
airenhaoshi 爱人好士
airenkanchang 矮人看场
airenliwu 爱人利物
airenyide 爱人以德
airixili 爱日惜力
airujichu 爱如己出
airuzhenbao 爱如珍宝
aisandingsi 捱三顶四
aisandingwu 挨三顶五
aisandingwu 捱三顶五
aishengtanqi 哀声叹气
aishengtanqi 唉声叹气
aishengtanqi 嗳声叹气
aishouaijiao 碍手碍脚
aisihaozhu 哀丝豪竹
aisiruchao 哀思如潮
aisuhaogu 爱素好古
aitianjiaodi 哀天叫地
aitongyujue 哀痛欲绝
aiwujiwu 爱屋及乌
aixiyumao 爱惜羽毛
aizengfenming 爱憎分明
aiziguanchang 矮子观场
aizikanxi 矮子看戏
aizilibajiangjun 矮子里拔将军
ananfenfen 安安分分
ananjingjing 安安静静
ananwenwen 安安稳稳
ananxinxin 安安心心
ananyiyi 安安逸逸
anbangdingguo 安邦定国
anbangzhiguo 安邦治国
anbingbudong 按兵不动
anbingshujia 按兵束甲
anbudangche 安步当车
anbujiuban 按部就班
anbuwangwei 安不忘危
ancangshaji 暗藏杀机
anchangchushun 安常处顺
anchanglvshun 安常履顺
anchangshoufen 安常守分
anchangshougu 安常守故
anchangxigu 安常习故
anchepulun 安车蒲轮
anchuidaren 暗锤打人
andanwuguang 暗淡无光
andanwuguang 黯淡无光
andingtuanjie 安定团结
andoumingzheng 暗斗明争
anduchencang 暗度陈仓
anduchencang 暗渡陈仓
andujinzhen 暗度金针
anduleye 安堵乐业
andurugu 安堵如故
anduzhilao 案牍之劳
anfenshouji 安份守己
anfenshouji 安分守己
anfenzhizu 安分知足
anfuxupin 安富恤贫
anfuxuqiong 安富恤穷
anfuzunrong 安富尊荣
anguzhibian 岸谷之变
anguzhongqian 安故重迁
anguofumin 安国富民
anguoningjia 安国宁家
anhuixiaochen 黯晦消沉
anhundingpo 安魂定魄
anjialeye 安家乐业
anjialiye 安家立业
anjialuohu 安家落户
anjiaqinbing 按甲寝兵
anjiaxiubing 按甲休兵
anjianmingqiang 暗箭明枪
anjiannanfang 暗箭难防
anjianshangren 暗箭伤人
anjianzhongren 暗箭中人
anjiaoxiantan 暗礁险滩
anjuleye 安居乐业
anlaohuaishao 安老怀少
anlaoquchou 按劳取酬
anliangchubao 安良除暴
anmalaodun 鞍马劳顿
anmalaojuan 鞍马劳倦
anmalaokun 鞍马劳困
anmazhilao 鞍马之劳
anmeidaiyan 安眉带眼
anmeizhishi 暗昧之事
anmingaoshi 安民告示
anmingzeshi 按名责实
annabuzhu 按捺不住
anneirangwai 安内攘外
anpeixuxing 按辔徐行
anpinledao 安贫乐道
anpinlejian 安贫乐贱
anpinshoudao 安贫守道
anqiannao 暗气暗恼
anqianmahou 鞍前马后
anrandaomao 岸然道貌
anranhunxiao 黯然魂销
anranrugu 安然如故
anranshangshen 黯然伤神
anranshenshang 黯然神伤
anranshise 黯然失色
anranwuguang 黯然无光
anranwuse 黯然无色
anranwushi 安然无事
anrenwuqin 安忍无亲
anrupanshi 安如盘石
anrupanshi 安如磐石
anrutaishan 安如太山
anrutaishan 安如泰山
anruotaishan 安若泰山
anruowuduan 暗弱无断
anshendingpo 安神定魄
anshenliming 安身立命
anshenweile 安身为乐
anshenzhichu 安身之处
anshenzhidi 安身之地
anshengfuye 安生服业
anshengleye 安生乐业
anshibuqi 暗室不欺
anshichushun 安时处顺
anshifengdeng 暗室逢灯
anshikuixin 暗室亏心
anshilichu 安室利处
anshiqixin 暗室欺心
anshiqiuwu 暗室求物
anshiruchang 安适如常
anshiwulou 暗室屋漏
ansongqiubo 暗送秋波
antusuoji 按图索骥
antusuojun 按图索骏
antuzhongjiu 安土重旧
antuzhongqian 安土重迁
anweixiangyi 安危相易
anweiyugong 安危与共
anwuliudu 案无留牍
anwutianri 暗无天日
anxianzide 安闲自得
anxianzizai 安闲自在
anxiangcaozuo 暗箱操作
anxindingzhi 安心定志
anxinleye 安心乐业
anxinleyi 安心乐意
anxinluoyi 安心落意
anxingziyi 按行自抑
anyingxiazhai 安营下寨
