aihongbianye 哀鸿遍野
anbudangche 安步当车
antuzhonghai 安土重还
aoaodaibu 嗷嗷待哺
baijuguoxi 白驹过隙
baocanshouque 抱残守缺
beigongsheying 杯弓蛇影
beishuichexin 杯水车薪
bilulanlv 筚路蓝缕
biewuchangwu 别无长物
bubeibukang 不卑不亢
bufuzhongwang 不孚众望
bufuzhongwang 不负众望
bujibuli 不即不离
bujingerzou 不胫而走
bukanzhilun 不刊之论
bukekaijiao 不可开交
bukeliyu 不可理喻
bukeshoushi 不可收拾
bukesiyi 不可思议
bukexianger 不可向迩
bukezhongri 不可终日
bulangbuyou 不稂不莠
buluokejiu 不落窠臼
burongzhihui 不容置喙
busaibuliubuzhibuxing 不塞不流不止不行
buweiyishen 不为已甚
buwenbuhuo 不瘟不火
buyilehu 不亦乐乎
buyiweiran 不以为然
buyiweiyi 不以为意
buzuguachi 不足挂齿
buzuweixun 不足为训
canshijingtun 蚕食鲸吞
canghaiyisu 沧海一粟
cemuershi 侧目而视
cengjiheshi 曾几何时
cengjingcangsang 曾经沧桑
chaqiangrenyi 差强人意
chenghuangchengkong 诚惶诚恐
chengxiazhimeng 城下之盟
chuqizhisheng 出奇制胜
chushenruhua 出神入化
chuxinjilv 处心积虑
congshanruliu 从善如流
daerwudang 大而无当
dakuairenxin 大快人心
daqiwancheng 大器晚成
dazhiruoyu 大智若愚
dangrenburang 当仁不让
delongwangshu 得陇望蜀
dengtangrushi 登堂入室
dinglimobai 顶礼膜拜
dinglixiangzhu 鼎力相助
dongshanzaiqi 东山再起
doukounianhua 豆蔻年华
duibugongtang 对簿公堂
duoshizhiqiu 多事之秋
errumuran 耳濡目染
ershunengxiang 耳熟能详
ertimianming 耳提面命
ertizaiming 耳提在命
fanwenrujie 繁文缛节
fanyunfuyu 翻云覆雨
feiyisuosi 匪夷所思
fenmodengchang 粉墨登场
fentingkangli 分庭抗礼
fenzhitalai 纷至沓来
fengshengheli 风声鹤唳
fushijieshi 俯拾皆是
gantongshenshou 感同身受
gaowujianling 高屋建瓴
gegudingxin 革故鼎新
gexingqishi 各行其是
genggengyuhuai 耿耿于怀
gongkuiyikui 功亏一篑
gouweixudiao 狗尾续貂
gubuzifeng 故步自封
guankuilice 管窥蠡测
guangguailuli 光怪陆离
guifushengong 鬼斧神工
guoyanyunyan 过眼云烟
hairentingwen 骇人听闻
haishishenlou 海市蜃楼
handanxuebu 邯郸学步
hanniuchongdong 汗牛充栋
haoweirenshi 好为人师
hefatongyan 鹤发童颜
huebuquan 怙恶不悛
huanranbingshi 涣然冰释
huimorushen 讳莫如深
huishenghuise 绘声绘色
huoqixiaoqiang 祸起萧墙
huozhongquli 火中取栗
jijiyitang 济济一堂
jirichenggong 计日程功
jiyechengqiu 集腋成裘
jianburongfa 间不容发
jianweizhizhu 见微知著
jiangherixia 江河日下
jianglangcaijin 江郎才尽
jiaozhuguse 胶柱鼓瑟
jinkeyulv 金科玉律
kaimenyidao 开门揖盗
kankanertan 侃侃而谈
kongxuelaifeng 空穴来风
liangshangjunzi 梁上君子
liangxiaowucai 两小无猜
liangyoubuqi 良莠不齐
liaoruochenxing 廖若晨星
lincizhibi 鳞次栉比
linlinzongzong 林林总总
lingrenfazhi 令人发指
lingxingjinzhi 令行禁止
luhuochunqing 炉火纯青
lvshibushuang 屡试不爽
maiduhuanzhu 买椟还珠
manmuchuangyi 满目疮痍
meilunmeihuan 美轮美奂
mingrihuanghua 明日黄花
paozhuanyinyu 抛砖引玉
pengbishenghui 蓬荜生辉
pengbizenghui 蓬荜增辉
piganlidan 披肝沥胆
pijitailai 否极泰来
pingtoupinzu 评头品足
qiqiaiai 期期艾艾
qishoubajiao 七手八脚
qingzhunanshu 罄竹难书
qiongqiongjieli 茕茕孑立
quzhiruwu 趋之如鹜
renmanweihuan 人满为患
rentonggeai 忍痛割爱
rulvbobing 如履薄冰
rushujiazhen 如数家珍
sanjianqikou 三缄其口
sanrenchenghu 三人成虎
selineiren 色厉内荏
shanshuoqici 闪烁其辞
shangxinyuemu 赏心悦目
shenlinqijing 身临其境
shentilixingqinshenjingyannulishixing 身体力行亲身经验努力实行
shenwuchangwu 身无长物
shenglingtutan 生灵涂炭
shipotianjing 石破天惊
shirenyahui 拾人牙慧
shitulangben 豕突狼奔
shiweisucan 尸位素餐
shizhibuyi 矢志不移
shizhidongyushouzhisangyu 失之东隅收之桑榆
shizuoyongzhe 始作俑者
shoudangqichong 首当其冲
shoushuliangduan 首鼠两端
songrentingwen 耸人听闻
tanguanxiangqing 弹冠相庆
tanweiguanzhi 叹为观止
taoguangyanghui 韬光养晦
taolibuyanxiazichengxi 桃李不言下自成蹊
tihuguanding 醍醐灌顶
tianwanghuihui 天网恢恢
toushujiqi 投鼠忌器
tuoyingerchu 脱颖而出
wanrenkongxiang 万人空巷
wanwusangzhi 玩物丧志
wangqixiangbei 望其项背
weihufuyi 为虎傅翼
weiyandayi 微言大义
weiyanweixing 危言危行
weiyuchoumou 未雨绸缪
weiyuanquyuweicongquque 为渊驱鱼为丛驱雀
wenbujiadian 文不加点
