# 在此文件添加词条，每行：拼音 词（拼音可带声调数字 1-5，如 peng2 you5 朋友）
# 保存后双击运行 build_static.py，再把本文件夹部署到静态托管即可热更新
# APK 本地没有这些内容，只从你部署的站点 URL 拉取 wordlist.txt

# === 五金常用词 ===
luosi 螺丝
luomu 螺母
luoshuan 螺栓
banshou 扳手
qianzi 钳子
chuizi 锤子
ju 锯
jutiao 锯条
zuantou 钻头
luosidao 螺丝刀
dianzuan 电钻
jiaomoji 角磨机
dingzi 钉子
tiesi 铁丝
hantiao 焊条
shazhi 砂纸
juanchi 卷尺
shuipingyi 水平仪
taotong 套筒
neiliujiao 内六角
laohuqian 老虎钳
jianzuqian 尖嘴钳
gangsiqian 钢丝钳
meigongdao 美工刀
qiegeji 切割机
dianhan 电焊
qihan 气焊
hanqiang 焊枪
hanji 焊机
moguangji 磨光机
paoguang 抛光
zuankong 钻孔
gongsi 攻丝
luowen 螺纹
dianpian 垫片
tanhuang 弹簧
zhoucheng 轴承
chilun 齿轮
pidai 皮带
runhuayou 润滑油
jiyou 机油
kaikoubanshou 开口扳手
meihuabanshou 梅花扳手
huobanshou 活扳手
taotongbanshou 套筒扳手
yaban 压板
gudingxi 固定器
suodiangongju 锁电工具
dianxianqian 电线钳
bopiqi 剥皮器
cedianbi 测电笔
wannengbiao 万能表
dianrong 电容
dianzu 电阻
duanluqi 断路器
kaiguan 开关
chazuo 插座
dengpao 灯泡
led LED灯
hanjie 焊接
qiege 切割
moxiao 磨削
daxiu 打锈
tuliao 涂料
fangxiuqi 防锈漆
yinbizi 银笔字
biaohao 标号
guige 规格
chicun 尺寸
haomi 毫米
limi 厘米
gongfen 公分的

# === 数学常用词 ===
jiafa 加法
jianfa 减法
chengfa 乘法
chufa 除法
dengyu 等于
fangcheng 方程
yiyuanyici 一元一次
eryuanyici 二元一次
hanshu 函数
yicihanshu 一次函数
ercihanshu 二次函数
daoshu 导数
jifen 积分
pingfang 平方
kaifang 开方
genhao 根号
fenshu 分数
xiaoshu 小数
baifenshu 百分数
dengshi 等式
budengshi 不等式
jihe 几何
sanjiaoxing 三角形
yuan 圆
mianji 面积
zhouchang 周长
tiji 体积
jiaodu 角度
pingxing 平行
chuizhi 垂直
xiangjiao 相交
gougudingli 勾股定理
xiangsi 相似
quandeng 全等
zhouduichen 轴对称
zhongxinduichen 中心对称
gailv 概率
tongji 统计
pingjunshu 平均数
zhongweishu 中位数
zhongshu 众数
fangcha 方差
biaozhuncha 标准差
zhengshu 正数
