# 本文件：各场景、各职业常用词（与 wordlist_src.txt 一起被 build_static.py 合并）
# 格式：每行「拼音 词」

# === 医疗场景 ===
yisheng 医生
hushi 护士
yiyuan 医院
menzhen 门诊
zhuyuan 住院
guaha 挂号
quhao 取号
dengji 登记
chakan 查看
jiancha 检查
huayan 化验
chaoxue 抽血
ct CT
bichaoshi B超
naodian 脑电
xintu 心电图
guomin 过敏
chufang 处方
naiyao 拿药
fayao 发药
zhuyi 注意
fuyong 服用
yongyao 用药
shoushu 手术
mazui 麻醉
chuyuan 出院
bingli 病历
zhenduan 诊断
zhiliao 治疗
kangfu 康复
fucha 复查
jiezhen 接诊
huanzhe 患者
bingren 病人
jiuzhen 就诊
jijiu 急救
120 急救

# === 法律司法 ===
lvshi 律师
faguan 法官
jianchaguan 检察官
gongzheng 公证
hetong 合同
qisu 起诉
shensu 申诉
shangsu 上诉
shenpan 审判
panjue 判决
caiding 裁定
tiaojie 调解
zhongcai 仲裁
weiyue 违约
peichang 赔偿
susong 诉讼
yuangao 原告
beigao 被告
zhengju 证据
zhengren 证人
biantihu 辩护
daili 代理
weituo 委托
qianyue 签约
jieyue 解约
mianze 免责

# === 教育培训 ===
laoshi 老师
xuesheng 学生
jiaoshi 教师
jiaoxue 教学
kecheng 课程
kebiao 课表
shangke 上课
xiake 下课
zuoye 作业
kaoshi 考试
chengji 成绩
pinggu 评估
peixun 培训
xunlian 训练
jiangzuo 讲座
seminari 研讨会
xuewei 学位
biye 毕业
lunwen 论文
dabian 答辩
baokao 报考
luqu 录取
tuijian 推荐
shenqing 申请

# === 金融财务 ===
yinhang 银行
cunkuan 存款
qukuan 取款
zhuanzhang 转账
huikuan 汇款
daikuan 贷款
huankuan 还款
lixi 利息
lilv 利率
touzi 投资
gupiao 股票
jijin 基金
licai 理财
baoxian 保险
baodan 保单
toubao 投保
lipei 理赔
shuie 税额
nashui 纳税
fapiao 发票
baoxiao 报销
yusuan 预算
zhichu 支出
shouru 收入
jiesuan 结算
duizhang 对账
kuaiji 会计
chuna 出纳
shenji 审计

# === 电商零售 ===
shangpin 商品
shangjia 商家
kehu 客户
guke 顾客
dingdan 订单
fukuan 付款
shouhuo 收货
tuihuo 退货
huankuan 换款
kefu 客服
zixun 咨询
tousu 投诉
pingjia 评价
haoping 好评
chaping 差评
youhui 优惠
zhekou 折扣
manjian 满减
coupon 优惠券
huodong 活动
cuxiao 促销
kucun 库存
fahuo 发货
wuliu 物流
kuadi 快递
shoujian 收件
jijian 寄件
tuikuan 退款

# === 互联网IT ===
chengxu 程序
ruanjian 软件
yingjian 硬件
ceshi 测试
kaifa 开发
sheji 设计
yunchou 运维
yunwei 运维
shujuku 数据库
qianhouduan 前后端
API 接口
bug 缺陷
debug 调试
shangxian 上线
fabu 发布
banben 版本
gengxin 更新
xuqiu 需求
chanpin 产品
yonghu 用户
denglu 登录
zhuce 注册
mima 密码
yanzhengma 验证码
touxiang 头像
nicheng 昵称
shenfen 身份
renzheng 认证

# === 餐饮服务 ===
canyin 餐饮
jiudian 酒店
fandian 饭店
canting 餐厅
diancan 点餐
waimei 外卖
daodian 到店
zhuowei 桌位
dingcan 订餐
caidan 菜单
jiacai 加菜
tuicai 退菜
jiezhang 结账
fukuan 付款
xiaofei 消费
fuwu 服务
fuwuyuan 服务员
diancaiyuan 点菜员
chushi 厨师
houchu 后厨
weisheng 卫生
xiaodu 消毒
baojie 保洁

# === 物流快递 ===
wuliu 物流
kuaidi 快递
yundan 运单
jijian 寄件
shoujian 收件
paijian 派件
qianshou 签收
daodian 到店
zhuanyun 转运
cangku 仓库
ruku 入库
chuku 出库
picking 拣货
baozhuang 包装
toubao 投保
peisong 配送
songru 送入
shixiao 时效
yunsong 运送

# === 建筑装修 ===
jianzhu 建筑
zhuangxiu 装修
shigong 施工
cailiao 材料
tugong 土工
shuidian 水电
mugong 木工
youqi 油漆
cizhuan 瓷砖
dimian 地面
qiangmian 墙面
diaoding 吊顶
chuanghu 窗户
men 门
weiyu 卫浴
chufang 厨房
tushu 图纸
sheji 设计
baojia 报价
hetong 合同
yanshou 验收
weixiu 维修
baozheng 保修

# === 政府机关 ===
zhengfu 政府
jiguan 机关
danwei 单位
bumen 部门
shenpi 审批
banli 办理
shenqing 申请
tijiao 提交
shenhe 审核
pizhun 批准
gongwen 公文
tongzhi 通知
gonggao 公告
xingzheng 行政
fuwu 服务
minsheng 民生
zhifa 执法
jiandu 监督
tousu 投诉
shangfang 上访
xinfang 信访
dangan 档案
beian 备案
gongkai 公开
gongshi 公示
