# 本文件：单位时间、常用短句、亲戚称谓、生活高频词（与 wordlist_src.txt 一起被 build_static.py 合并）
# 格式：每行「拼音 词」

# === 单位·时间 ===
ge 个
yuan 元
kuai 块
mao 毛
fen 分
gongli 公里
limi 厘米
mi 米
qianmi 千米
gongjin 公斤
jin 斤
liang 两
ke 克
sheng 升
pingfangmi 平方米
lifangmi 立方米
fenzhong 分钟
xiaoshi 小时
zhongtou 钟头
tian 天
hao 号
ri 日
xingqi 星期
zhou 周
yue 月
nian 年
jintian 今天
mingtian 明天
zuotian 昨天
houtian 后天
qiantian 前天
zaochen 早晨
shangwu 上午
zhongwu 中午
xiawu 下午
wanshang 晚上
yeli 夜里
lingchen 凌晨
zhoumo 周末
shangzhou 上周
xiazhou 下周
benzhou 本周
shangyue 上月
xiayue 下月
benyue 本月
shangnian 上年
jinnian 今年
mingnian 明年
gangcai 刚才
dengyixia 等一下
yihuir 一会儿
mashang 马上
dengdeng 等等
cike 此刻
muqian 目前
zhiqian 之前
zhihou 之后
dangtian 当天
dangyue 当月
dangnian 当年

# === 常用短句 ===
shoudao 收到
haode 好的
xing 行
keyi 可以
meiwenti 没问题
xiexie 谢谢
xinkule 辛苦了
meiguanxi 没关系
bukeqi 不客气
zhuyianquan 注意安全
xiaoxin 小心
manzou 慢走
zaijian 再见
huijian 回见
mingtianjian 明天见
yihoulianxi 以后联系
youkong chilai 有空出来
zaishuo 再说
haode 好的
zhidaole 知道了
mingbaile 明白了
liaojie 了解
shoudao 收到
meiyisi 没事
buyongxie 不用谢
xinkule 辛苦了
ninde 您的
qing 请
duibuqi 对不起
baohan 抱歉
qingle 请了
manmanchi 慢慢吃
manmanlai 慢慢来
bujiji 不着急
zhuni 祝你
pingan 平安
shunli 顺利

# === 亲戚称谓 ===
yeye 爷爷
nainai 奶奶
baba 爸爸
mama 妈妈
fumu 父母
fuqin 父亲
muqin 母亲
erzi 儿子
nver 女儿
haizi 孩子
sunzi 孙子
sunnv 孙女
waisun 外孙
waisunnv 外孙女
waigong 外公
waipo 外婆
gonggong 公公
popo 婆婆
yenainai 爷爷奶奶
laogong 老公
laopo 老婆
zhangfu 丈夫
qizi 妻子
xiongdi 兄弟
jiemei 姐妹
gege 哥哥
jiejie 姐姐
didi 弟弟
meimei 妹妹
shushu 叔叔
ayi 阿姨
bobo 伯伯
dashu 大叔
shenzi 婶子
jiujiu 舅舅
gugu 姑姑
yifu 姨父
yima 姨妈
biaoge 表哥
biaojie 表姐
tangxiong 堂兄
tangdi 堂弟
laogong 老公
laopo 老婆
xifu 媳妇
nvxu 女婿
erxi 儿媳
zhangbei 长辈
wanbei 晚辈
qinqi 亲戚
jiaren 家人
jiating 家庭

# === 生活高频词 ===
waimai 外卖
kuaidi 快递
paijian 派件
shoujian 收件
maicai 买菜
caishi 菜市
chaoshi 超市
chongdian 充电
chongdianqi 充电器
chongdianbao 充电宝
jiaofei 缴费
shuidianfei 水电费
wangfei 网费
huafei 话费
shouji 手机
shoujihao 手机号
liangle 凉了
rele 热了
soule 馊了
huaile 坏了
lanle 烂了
yaodian 药店
maiyao 买药
duteng 肚疼
duziteng 肚子疼
yao 腰
yaoteng 腰疼
touteng 头疼
fateng 发疼
shenti 身体
bufu 不舒服
ganmao 感冒
fashao 发烧
kesou 咳嗽
yao 药
chiyao 吃药
chifan 吃饭
heshui 喝水
shuijiao 睡觉
qichuang 起床
xizao 洗澡
xilian 洗脸
shuaya 刷牙
chumen 出门
huijia 回家
shangban 上班
xiaban 下班
dache 打车
zuoche 坐车
qiche 骑车
ditan 地铁
gongjiao 公交
yinhang 银行
chuxu 储蓄
quqian 取钱
cunkuan 存款
shoukuan 收款
fukuan 付款
zhuanzhang 转账
weixin 微信
zhifubao 支付宝
saoma 扫码
erweima 二维码
dianhua 电话
dadianhua 打电话
faduanxin 发短信
fasong 发送
shoudao 收到
xiaoqu 小区
loudong 楼栋
danyuan 单元
menpaihao 门牌号
wuyye 物业
menjin 门禁
ditie 地铁
zhan 站
shangche 上车
xiache 下车
huoche 火车
gaotie 高铁
feiji 飞机
jipiao 机票
huochepiao 火车票
dingpiao 订票
yuding 预订
jiudian 酒店
zhusu 住宿
canting 餐厅
zaocan 早餐
wucan 午餐
wancan 晚餐
yexiao 夜宵
diancan 点餐
waimei 外卖
songsong 送送
daodile 到了
shouhuo 收货
qujian 取件
yonghu 用户
mima 密码
denglu 登录
zhuce 注册
yanzhengma 验证码
