# 本文件：各职业高频打字词（与 wordlist_src.txt 一起被 build_static.py 合并）
# 格式：每行「拼音 词」

# === 老师学生·高频 ===
shangke 上课
xiake 下课
kaoshi 考试
zuoye 作业
fenshu 分数
shijuan 试卷
jiazhang 家长
banzhang 班长
banhui 班会
beike 备课
pijuan 批卷
qingjia 请假
chidao 迟到
zaotui 早退
jiazhanghui 家长会
chengjidan 成绩单
buxiban 补习班
moxie 默写
tingxie 听写
beisong 背诵
zhiri 值日
kedabiao 课代表
banzhuren 班主任
nianji 年级
banji 班级
heiban 黑板
fenbi 粉笔
keben 课本
biji 笔记
cuotiben 错题本
jiangping 讲评
dingzheng 订正
jiaojuan 交卷
fajuan 发卷
yuejuan 阅卷
paiming 排名
sanhaoxuesheng 三好学生
jiangzhuang 奖状
zaozixi 早自习
wanxixi 晚自习
zixike 自习课
tigang 提纲
tingli 听力
shoujuan 收卷
datika 答题卡
chengji 成绩
jige 及格
bujige 不及格
fuxi 复习
yuxi 预习
kebiao 课表
shangkeling 上课铃
xiakeling 下课铃
caheiban 擦黑板
fajuanzi 发卷子
shoujuanzi 收卷子

# === 医生护士·高频 ===
guaha 挂号
jiuzhen 就诊
kaiyao 开药
shuye 输液
jiancha 检查
ct CT
bchao B超
chaoxue 抽血
huayan 化验
chufang 处方
bingli 病历
menzhen 门诊
zhuyuan 住院
shoushu 手术
chafang 查房
huanyao 换药
chaixian 拆线
fucha 复查
jizhen 急诊
bingfang 病房
hushizhan 护士站
yaofang 药房
quyao 取药
naiping 拿瓶
dianzi 点滴
zhuyuanbu 住院部
menzhenbu 门诊部
paidui 排队
quhao 取号
jiuzhenka 就诊卡
yibao 医保
hesuan 核算
guomin 过敏
chuyuan 出院
ruyuan 入院
zhuyi 嘱意
fuyong 服用
yongyao 用药
liangtiwen 量体温
cexueya 测血压
xindiantu 心电图
naodian 脑电图
xiongpian 胸片
ctpian CT片
mazui 麻醉
fenghe 缝合
chuanhuyi 穿护衣
xiaodu 消毒
fangyan 防炎

# === 司机交警·高频 ===
daohang 导航
xiansu 限速
honglvdeng 红绿灯
weizhang 违章
fakuan 罚款
jiayou 加油
jiujia 酒驾
zuijia 醉驾
duche 堵车
daoche 倒车
shache 刹车
baoxian 保险
nianjian 年检
jiazhao 驾照
koufen 扣分
tingche 停车
chaosu 超速
biandao 变道
diaotou 掉头
huandao 环岛
gaosu 高速
zadao 匝道
fuwuqu 服务区
jiayouzhan 加油站
xiche 洗车
xiuche 修车
luntai 轮胎
baoyang 保养
weixiu 维修
jiaotong 交通
jingshi 警示
biaoxian 标线
tingchewei 停车位
dixiacheku 地下车库
etc ETC
guodailu 过路费
youfei 油费
chexian 车险
peichang 赔偿
jiaotongshigu 交通事故
baojing 报警
chuche 出车
jiaojing 交警
zhifa 执法
kaidan 开单
fakuan 罚单
jiliu 记留
paizhao 拍照
weizhangpai 违章牌
jinxing 禁行
danxingdao 单行道
tingchechang 停车场
daocheruku 倒车入库
cefang 侧方
banpoqibu 半坡起步

# === 营销运营·高频 ===
tuiguang 推广
yinliu 引流
zhuanhua 转化
liucun 留存
laxin 拉新
cuhuo 促活
toufang 投放
roi ROI
kpi KPI
huodong 活动
cehua 策划
wenan 文案
haibao 海报
zhibo 直播
daihuo 带货
fensi 粉丝
liuliang 流量
baoguang 曝光
dianji 点击
zhuanhualv 转化率
yonghuhuaxiang 用户画像
shujufenxi 数据分析
yingsiao 营销
yunying 运营
xinmeiti 新媒体
duanshipin 短视频
hongren 红人
daigou 代购
tuangou 团购
manjian 满减
youhuiquan 优惠券
cuxiao 促销
huodong 活动
pinpai 品牌
dingwei 定位
keshu 客户
qunti 群体
mubiao 目标
zhuanfa 转发
fenxiang 分享
dianzan 点赞
pinglun 评论
bolang 播量
fensi 粉丝
zengfen 增粉
tuiguang 推广
toufang 投放
xiaoguo 效果
huibao 回报
chengben 成本
yusuan 预算
zhichu 支出
shouru 收入
maidian 卖点
chanpin 产品
xuqiu 需求

# === 厨师餐饮·高频 ===
caipu 菜谱
beicai 备菜
qiepei 切配
chaocai 炒菜
zhengzhu 蒸煮
liangcai 凉菜
recai 热菜
miandian 面点
houchu 后厨
zaotai 灶台
tiaoliao 调料
youyanjiangcu 油盐酱醋
baipan 摆盘
chucan 出餐
fantai 翻台
diancai 点菜
chuancai 传菜
shouzhuo 收桌
xiwan 洗碗
weisheng 卫生
shicai 食材
caigou 采购
chuangong 传工
dachu 大厨
erchu 二厨
zhuchu 主厨
peicai 配菜
qiecai 切菜
paigu 排骨
rousi 肉丝
roupian 肉片
jiding 鸡丁
xiaoren 虾仁
qingcai 青菜
tang 汤
zhou 粥
mifan 米饭
miantiao 面条
baozi 包子
jiaozi 饺子
hundun 馄饨
chaofan 炒饭
chaomian 炒面
weidao 味道
xian 咸
dan 淡
la 辣
suan 酸
tian 甜
