# 本文件：情侣/亲密关系日常聊天词（与 wordlist_src.txt 一起被 build_static.py 合并）
# 格式：每行「拼音 词」。内容仅限健康、日常用语，风控合规。

# === 称呼·爱称 ===
baobao 宝宝
baobei 宝贝
qinaide 亲爱的
laogong 老公
laopo 老婆
xiaokeai 小可爱
xiaobaobei 小宝贝
xiaoxingan 小心肝
honey 哈尼
darling 达令
xinnian 心念
zhangfu 丈夫
qizi 妻子
duixiang 对象
nanyou 男友
nvyou 女友
ta 他
ta 她
xihuan 喜欢
aini 爱你

# === 想念与喜欢 ===
xiangnile 想你了
haoxiangni 好想你
woxiangni 我想你
xiangni 想你
aini 爱你
woaini 我爱你
chaoaini 超爱你
xihuanni 喜欢你
haoxihuanni 好喜欢你
tebiexiangni 特别想你
haoxiangjianni 好想见你
xiangjianni 想见你
xiangsi 相思
nianni 念你
xinliyouni 心里有你
zhongyuandeni 终于等到你

# === 亲昵动作·健康向 ===
baobao 抱抱
qinqin 亲亲
memeda 么么哒
momoda 么么哒
momotou 摸摸头
nielian 捏脸
bobo 啵啵
biuxin 比心
bixin 比心
geinibixin 给你比心
shouwangxin 手望心
yongbao 拥抱
laoshou 拉手
qianshou 牵手
kaozhe 靠着
yiqi 一起
peini 陪你
peiwowan 陪陪我
shuohua 说话
liaotian 聊天

# === 日常问候·在吗干嘛 ===
zaima 在吗
ganma 干嘛
ganmane 干嘛呢
zuoshama 做什么
shuilema 睡了吗
chilema 吃了吗
elema 饿了吗
lengbuleng 冷不冷
leibulei 累不累
mangbumang 忙不忙
haolema 好了吗
wanlema 完了吗
xiaobanle 下班了
fangxuele 放学了
mangwanle 忙完了
daojiale 到家了
chifanlema 吃饭了吗
shuijiaolema 睡觉了吗
zoulema 走了吗
huijiale 回家了
dengwo 等我
dengyixia 等一下
mashangdao 马上到
kuaidaole 快到了

# === 早晚安·关心 ===
wanan 晚安
zaoan 早安
wuan 午安
haomeng 好梦
zaodianshui 早点睡
bieaoye 别熬夜
zaoshuijiao 早睡觉
shuigoulema 睡够了吗
shuidehaoma 睡得好吗
zhuyixiuxi 注意休息
bieletao 别累着
duoheshui 多喝水
duochidian 多吃点
tianlengduochuan 天冷多穿
xiaoxin 小心
zhuyianquan 注意安全
daole 到了
pingan 平安
shunli 顺利
kaixin 开心
gaoxing 高兴
xinkule 辛苦了
xiexie 谢谢
meishi 没事
youwo 有我
peizheni 陪着你

# === 约会·见面·一起玩 ===
chulaiyuehui 出来约会
jianmian 见面
guangjie 逛街
kandianying 看电影
chifan 吃饭
yiqichifan 一起吃饭
chulaiwan 出来玩
sanbu 散步
yiqisanbu 一起散步
chuguwan 出去玩
yiquba 一起去吧
shenmeshihou 什么时候
jintian 今天
mingtian 明天
zhoumo 周末
youkongma 有空吗
youkongchulai 有空出来
lawojia 来我家
qunijia 去你家
dianyingpiao 电影票
dingpiao 订票
nalijian 哪里见
laodifang 老地方
dengni 等你
daolejiaowo 到了叫我
womenqunar 我们去哪儿
chishenme 吃什么
kanshenme 看什么
wanshenme 玩什么
maidongxi 买东西
songni 送你
jieni 接你
songnihuijia 送你回家

# === 情绪·撒娇·可爱向（健康） ===
buxingle 不行了
xihuan 喜欢
haokan 好看
keai 可爱
nizhenhao 你真好
nizuihao 你最好
xinkunile 辛苦你了
ganji 感激
xindong 心动
xindongle 心动了
kaixin 开心
gaoxing 高兴
xihuanni 喜欢你
xiangni 想你
xiangnile 想你了
mama 嘛嘛
en 嗯
hao 好
haode 好的
xing 行
keyi 可以
meiwenti 没问题
tingnide 听你的
suibian 随便
douxing 都行
niding 你定
nishuolesuan 你说了算
xiaoxinxin 小心心
xiaotiantian 小甜甜
baobei 宝贝
laopo 老婆
laogong 老公
qinai 亲爱
qinaide 亲爱的

# === 简短回复·语气 ===
en 嗯
hao 好
haode 好的
xing 行
keyi 可以
meiyisi 没事
meiguanxi 没关系
buyongxie 不用谢
bukeqi 不客气
zaijian 再见
mingtianjian 明天见
wanan 晚安
zaoan 早安
haode 好的
zhidaole 知道了
mingbaile 明白了
shoudao 收到
liaojie 了解
mashang 马上
dengwo 等我
yihuir 一会儿
dengdeng 等等
haode 好的
xinkule 辛苦了
xiexie 谢谢
