# 本文件：全国省、市、县、村地名（与 wordlist_src.txt 一起被 build_static.py 合并）
# 格式：每行「拼音 词」。区县约2800+、行政村约69万，完整数据可用民政部/统计局区划代码批量生成后追加。

# === 省级（34个） ===
beijingshi 北京市
tianjinshi 天津市
hebeisheng 河北省
shanxisheng 山西省
neimengguzizhiqu 内蒙古自治区
liaoningsheng 辽宁省
jilinsheng 吉林省
heilongjiangsheng 黑龙江省
shanghaishi 上海市
jiangsusheng 江苏省
zhejiangsheng 浙江省
anhuisheng 安徽省
fujiansheng 福建省
jiangxisheng 江西省
shandongsheng 山东省
henansheng 河南省
hubeisheng 湖北省
hunansheng 湖南省
guangdongsheng 广东省
guangxizhuangzuzizhiqu 广西壮族自治区
hainansheng 海南省
chongqingshi 重庆市
sichuansheng 四川省
guizhousheng 贵州省
yunnansheng 云南省
xizangzizhiqu 西藏自治区
shanxisheng 陕西省
gansusheng 甘肃省
qinghaisheng 青海省
ningxiahuizuzizhiqu 宁夏回族自治区
xinjiangweiwuerzizhiqu 新疆维吾尔自治区
taiwansheng 台湾省
xianggangtebiexingzhengqu 香港特别行政区
aomentebiexingzhengqu 澳门特别行政区

# === 地级市/地区/自治州/盟（333个） ===
shijiazhuang 石家庄
tangshan 唐山
qinhuangdao 秦皇岛
handan 邯郸
xingtai 邢台
baoding 保定
zhangjiakou 张家口
chengde 承德
cangzhou 沧州
langfang 廊坊
hengshui 衡水
taiyuan 太原
datong 大同
yangquan 阳泉
zhangzhi 长治
jincheng 晋城
shuozhou 朔州
jinzhong 晋中
yuncheng 运城
xinzhou 忻州
linfen 临汾
lvliang 吕梁
huhehaote 呼和浩特
baotou 包头
wuhai 乌海
chifeng 赤峰
tongliao 通辽
eerduosi 鄂尔多斯
hulunbeier 呼伦贝尔
bayannaoer 巴彦淖尔
wulanchabu 乌兰察布
xinganmeng 兴安盟
xilinguoleimeng 锡林郭勒盟
alashanmeng 阿拉善盟
shenyang 沈阳
dalian 大连
anshan 鞍山
fushun 抚顺
benxi 本溪
dandong 丹东
jinzhou 锦州
yingkou 营口
fuxin 阜新
liaoyang 辽阳
panjin 盘锦
tieling 铁岭
zhaoyang 朝阳
huludao 葫芦岛
changchun 长春
jilin 吉林
siping 四平
liaoyuan 辽源
tonghua 通化
baishan 白山
songyuan 松原
baicheng 白城
yanbian 延边
haerbin 哈尔滨
qiqihaer 齐齐哈尔
jixi 鸡西
hegang 鹤岗
shuangyashan 双鸭山
daqing 大庆
yichun 伊春
jiamusi 佳木斯
qitaihe 七台河
mudanjiang 牡丹江
heihe 黑河
suihua 绥化
daxinganling 大兴安岭
nanjing 南京
wuxi 无锡
xuzhou 徐州
changzhou 常州
suzhou 苏州
nantong 南通
lianyungang 连云港
huaian 淮安
yancheng 盐城
yangzhou 扬州
zhenjiang 镇江
taizhou 泰州
suqian 宿迁
hangzhou 杭州
ningbo 宁波
wenzhou 温州
jiaxing 嘉兴
huzhou 湖州
shaoxing 绍兴
jinhua 金华
quzhou 衢州
zhoushan 舟山
taizhou 台州
lishui 丽水
hefei 合肥
wuhu 芜湖
bengbu 蚌埠
huainan 淮南
maanshan 马鞍山
huaibei 淮北
tongling 铜陵
anqing 安庆
huangshan 黄山
chuzhou 滁州
fuyang 阜阳
suzhou 宿州
luan 六安
bozhou 亳州
chizhou 池州
xuancheng 宣城
fuzhou 福州
xiamen 厦门
putian 莆田
sanming 三明
quanzhou 泉州
zhangzhou 漳州
nanping 南平
longyan 龙岩
ningde 宁德
nanchang 南昌
jingdezhen 景德镇
pingxiang 萍乡
jiujiang 九江
xinyu 新余
yingtan 鹰潭
ganzhou 赣州
jian 吉安
yichun 宜春
fuzhou 抚州
shangrao 上饶
jinan 济南
qingdao 青岛
zibo 淄博
zaozhuang 枣庄
dongying 东营
yantai 烟台
weifang 潍坊
jining 济宁
taian 泰安
weihai 威海
rizhao 日照
linyi 临沂
dezhou 德州
liaocheng 聊城
binzhou 滨州
heze 菏泽
zhengzhou 郑州
kaifeng 开封
luoyang 洛阳
pingdingshan 平顶山
anyang 安阳
hebi 鹤壁
xinxiang 新乡
jiaozuo 焦作
puyang 濮阳
xuchang 许昌
tahe 漯河
sanmenxia 三门峡
nanyang 南阳
shangqiu 商丘
xinyang 信阳
zhoukou 周口
zhumadian 驻马店
wuhan 武汉
huangshi 黄石
shiyan 十堰
yichang 宜昌
xiangyang 襄阳
ezhou 鄂州
jingmen 荆门
xiaogan 孝感
jingzhou 荆州
huanggang 黄冈
xianning 咸宁
suizhou 随州
enshi 恩施
changsha 长沙
zhuzhou 株洲
xiangtan 湘潭
hengyang 衡阳
shaoyang 邵阳
yueyang 岳阳
changde 常德
zhangjiajie 张家界
yiyang 益阳
chenzhou 郴州
yongzhou 永州
huaihua 怀化
loudi 娄底
xiangxi 湘西
guangzhou 广州
shaoguan 韶关
shenzhen 深圳
zhuhai 珠海
shantou 汕头
foshan 佛山
jiangmen 江门
zhanjiang 湛江
maoming 茂名
zhaoqing 肇庆
huizhou 惠州
meizhou 梅州
shanwei 汕尾
heyuan 河源
yangjiang 阳江
qingyuan 清远
dongguan 东莞
zhongshan 中山
chaozhou 潮州
jieyang 揭阳
yunfu 云浮
nanning 南宁
liuzhou 柳州
guilin 桂林
wuzhou 梧州
beihai 北海
fangchenggang 防城港
qinzhou 钦州
guigang 贵港
yulin 玉林
baise 百色
hezhou 贺州
hechi 河池
laibin 来宾
chongzuo 崇左
haikou 海口
sanya 三亚
sansha 三沙
danzhou 儋州
chengdu 成都
zigong 自贡
panzhihua 攀枝花
luzhou 泸州
deyang 德阳
mianyang 绵阳
guangyuan 广元
suining 遂宁
neijiang 内江
leshan 乐山
nanchong 南充
meishan 眉山
yibin 宜宾
guangan 广安
dazhou 达州
yaan 雅安
bazhong 巴中
ziyang 资阳
aba 阿坝
ganzi 甘孜
liangshan 凉山
guiyang 贵阳
liupanshui 六盘水
zunyi 遵义
anshun 安顺
bijie 毕节
tongren 铜仁
qianxinan 黔西南
qiandongnan 黔东南
qiannan 黔南
kunming 昆明
qujing 曲靖
yuxi 玉溪
baoshan 保山
zhaotong 昭通
lijiang 丽江
puer 普洱
lincang 临沧
chuxiong 楚雄
honghe 红河
wenshan 文山
xishuangbanna 西双版纳
dali 大理
dehong 德宏
nujiang 怒江
diqing 迪庆
lasa 拉萨
rikaze 日喀则
changdou 昌都
linzhi 林芝
shannan 山南
naqu 那曲
ali 阿里
xian 西安
tongchuan 铜川
baoji 宝鸡
xianyang 咸阳
weinan 渭南
yanan 延安
hanzhong 汉中
yulin 榆林
ankang 安康
shangluo 商洛
lanzhou 兰州
jiayuguan 嘉峪关
jinchang 金昌
baiyin 白银
tianshui 天水
wuwei 武威
zhangye 张掖
pingliang 平凉
jiuquan 酒泉
qingyang 庆阳
dingxi 定西
longnan 陇南
linxia 临夏
gannan 甘南
xining 西宁
haidong 海东
haibei 海北
huangnan 黄南
hainan 海南
guoluo 果洛
yushu 玉树
haixi 海西
yinchuan 银川
shizuishan 石嘴山
wuzhong 吴忠
guyuan 固原
zhongwei 中卫
wulumuqi 乌鲁木齐
kelamayi 克拉玛依
tulufan 吐鲁番
hami 哈密
changji 昌吉
boertala 博尔塔拉
bayinguoleng 巴音郭楞
akesu 阿克苏
kezileisu 克孜勒苏
kashi 喀什
hetian 和田
yili 伊犁
tacheng 塔城
aleitai 阿勒泰

# === 区县示例（完整约2844个，可自民政/统计开放数据追加） ===
changanqu 长安区
chaoyangqu 朝阳区
haidianqu 海淀区
fengtaiqu 丰台区
xichengqu 西城区
dongchengqu 东城区
pudongxinqu 浦东新区
yubeiqu 渝北区
tianhequ 天河区
futianqu 福田区
xihuqu 西湖区
wuhouqu 武侯区
yantaqu 雁塔区
lixiaqu 历下区
gulouqu 鼓楼区
xuanwuqu 玄武区
shushanqu 蜀山区
yueluqu 岳麓区
jianganqu 江岸区
zhongyuanqu 中原区
changpingqu 昌平区
tongzhouqu 通州区
shunyiqu 顺义区
daxingqu 大兴区
fangshanqu 房山区
mentougouqu 门头沟区
huairouqu 怀柔区
pingguqu 平谷区
miyunqu 密云区
yanqingqu 延庆区
zhengdingxian 正定县
jingxingxian 井陉县
qiananxian 迁安县
lulongxian 卢龙县
damingxian 大名县
shexian 涉县
neiqiuxian 内丘县
laishuixian 涞水县
yixian 易县
zhuoluxian 涿鹿县
weichangxian 围场县
wuqiaoxian 吴桥县
jingxian 景县
guanxian 固安县
zaoqiangxian 枣强县
shenzhoushi 深州市
qingxuxian 清徐县
yanggaoxian 阳高县
lingqiuxian 灵丘县
xiangyuanxian 襄垣县
gaopingshi 高平市
huairenshi 怀仁市
pingyaoxian 平遥县
qixian 祁县
jiexiushi 介休市
hejinshi 河津市
yongjishi 永济市
wenxixian 闻喜县
hongdongxian 洪洞县
huozhoushi 霍州市
xiaoyishi 孝义市
liulinxian 柳林县
helingeerxian 和林格尔县
tumoteyouqi 土默特右旗
